Art.-Nr.,Name des Produkts,Gebinde,Kategorie,Top-Angebot,Unterkategorie,Preis Einzeln (CHF),Preis Pack (CHF),Eigenmarke,Status,Packungsgrösse,Einheit
102400,Bier Moretti XL 15x66cl,Pack,Biere,FALSE,,,25.95,FALSE,Aktiv,15,flasche
88309,Bier Pale Ale Farmer Dose 18x50cl,Pack,Biere,FALSE,,,14.40,TRUE,Aktiv,18,dose
88308,Bier Pale Ale Farmer Dose 50cl,Einzeln,Biere,FALSE,,0.80,,TRUE,Deaktiviert,,dose
109408,Bier Peroni Dose 24x33cl,Pack,Biere,TRUE,,,19.95,FALSE,Aktiv,24,dose
75884,Bier Quoellfrisch 15x33cl,Pack,Biere,FALSE,,,15.95,FALSE,Aktiv,15,flasche
105553,Bier Quoellfrisch 24x33cl,Pack,Biere,TRUE,,,19.95,FALSE,Aktiv,24,flasche
89515,Bier Quoellfrisch Dose 15x50cl,Pack,Biere,FALSE,,,23.95,FALSE,Aktiv,15,dose
88317,Bier Quoellfrisch Dose 24x50cl,Pack,Biere,TRUE,,,29.95,FALSE,Aktiv,24,dose
45951,Bier Quoellfrisch Dose 6x50cl,Pack,Biere,FALSE,,,10.85,FALSE,Aktiv,6,dose
87444,Bier Quoellfrisch MW 50cl,Einzeln,Biere,FALSE,,1.95,,FALSE,Aktiv,,flasche
87442,Bier Rugenbraeu Zwickel MW 50cl,Einzeln,Biere,FALSE,,2.00,,FALSE,Deaktiviert,,flasche
35247,Bier Sagres 24x25cl,Pack,Biere,FALSE,,,15.95,FALSE,Aktiv,24,flasche
34810,Bier Schuetzengarten Edelspez 6x33cl,Pack,Biere,FALSE,,,8.30,FALSE,Deaktiviert,6,flasche
87428,Bier Schuetzengarten Edelspez MW 33cl,Einzeln,Biere,FALSE,,1.55,,FALSE,Deaktiviert,,flasche
87425,Bier Schuetzengarten Kl.braeu MW 50cl,Einzeln,Biere,FALSE,,1.80,,FALSE,Deaktiviert,,flasche
57529,Bier Superbock 24x25cl,Pack,Biere,FALSE,,,17.95,FALSE,Aktiv,24,flasche
97497,Bier Valaisanne Juicy IPA 4x33cl,Pack,Biere,FALSE,,,10.95,FALSE,Aktiv,4,flasche
34436,Bier Valaisanne Lager 12x33cl,Pack,Biere,FALSE,,,14.95,FALSE,Aktiv,12,flasche
15524,Bier Valaisanne Lager 18x33cl,Pack,Biere,FALSE,,,17.50,FALSE,Aktiv,18,flasche
77381,Bier Valaisanne Lager 6x50cl,Pack,Biere,FALSE,,,11.90,FALSE,Aktiv,6,flasche
15107,Bier Zitronen Panache 15x33cl,Pack,Biere,FALSE,,,14.95,FALSE,Aktiv,15,flasche
109412,BrewDog Wingman 4x33cl,Pack,Biere,FALSE,,,9.50,FALSE,Aktiv,4,flasche
72340,Calanda Radler Zitrone 24x50cl,Pack,Biere,FALSE,,,27.95,FALSE,Aktiv,24,flasche
40899,Cardinal Lager EW 15x33cl,Pack,Biere,FALSE,,,17.50,FALSE,Aktiv,15,flasche
15492,Corona Extra Bier 6x33cl,Pack,Biere,FALSE,,,7.95,FALSE,Aktiv,6,flasche
61762,Eve Grape Cosmop. 4x27.5cl,Pack,Biere,FALSE,,,9.45,FALSE,Aktiv,4,flasche
87351,Eve Litchi 4x27.5cl,Pack,Biere,FALSE,,,9.45,FALSE,Aktiv,4,flasche
32882,Eve Pink Mimosa 4x27.5cl,Pack,Biere,FALSE,,,9.45,FALSE,Aktiv,4,flasche
50898,Eve Strawberry Mojito 10x27.5cl,Pack,Biere,TRUE,,,17.25,FALSE,Aktiv,10,flasche
111698,Farmer Bier Lager Dose 24x33cl,Pack,Biere,TRUE,,,11.95,TRUE,Aktiv,24,dose
26917,Lagerbier Eichhof Do. 24x50cl,Pack,Biere,FALSE,,,30.95,FALSE,Aktiv,24,flasche
87260,Lagerbier Eichhof Dose 6x50cl,Pack,Biere,FALSE,,,9.95,FALSE,Aktiv,6,dose
66227,Lagerbier Eichhof hell 20x33cl,Pack,Biere,FALSE,,,17.95,FALSE,Aktiv,20,flasche
87391,Lagerbier Eichhof MW 50cl,Einzeln,Biere,FALSE,,1.55,,FALSE,Aktiv,,flasche
51734,Lagerbier Farmer 18x33cl,Pack,Biere,FALSE,,,9.95,TRUE,Aktiv,18,flasche
26980,Lagerbier Farmer Dose 18x50cl,Pack,Biere,FALSE,,,10.80,TRUE,Aktiv,18,dose
87448,Lagerbier Farmer Dose 50cl,Einzeln,Biere,FALSE,,0.60,,TRUE,Deaktiviert,,dose
87305,Lagerbier Feld. Original 10x33cl,Pack,Biere,FALSE,,,12.50,FALSE,Aktiv,10,flasche
111263,Lagerbier Feld. Original 12x33cl,Pack,Biere,FALSE,,,14.95,FALSE,Aktiv,12,flasche
87313,Lagerbier Feld. Original 24x33cl,Pack,Biere,FALSE,,,20.95,FALSE,Aktiv,24,flasche
46003,Lagerbier Feld. Original 24x50cl,Pack,Biere,TRUE,,,27.60,FALSE,Aktiv,24,flasche
104238,Lagerbier Feld. Original 8x56.5cl,Pack,Biere,FALSE,,,14.60,FALSE,Aktiv,8,flasche
30234,Lagerbier Feld. Original Dose 15x50cl,Pack,Biere,FALSE,,,24.95,FALSE,Aktiv,15,dose
87307,Lagerbier Feld. Original MW 33cl,Einzeln,Biere,FALSE,,1.55,,FALSE,Aktiv,,flasche
87303,Lagerbier Feld. Original MW 50cl,Einzeln,Biere,FALSE,,1.70,,FALSE,Aktiv,,flasche
87302,Lagerbier Feld. Original MW 50cl,Einzeln,Biere,FALSE,,1.70,,FALSE,Aktiv,,flasche
96005,Lagerbier Rugenbraeu 15x33cl,Pack,Biere,FALSE,,,16.50,FALSE,Deaktiviert,15,flasche
85477,Lagerbier Rugenbraeu 6x50cl,Pack,Biere,FALSE,,,9.95,FALSE,Deaktiviert,6,flasche
87440,Lagerbier Rugenbraeu MW 50cl,Einzeln,Biere,FALSE,,1.60,,FALSE,Deaktiviert,,flasche
87439,Lagerbier Rugenbraeu MW 50cl,Einzeln,Biere,FALSE,,1.60,,FALSE,Deaktiviert,,flasche
87424,Lagerbier Schuetzeng. MW 33cl,Einzeln,Biere,FALSE,,1.30,,FALSE,Deaktiviert,,flasche
87414,Lagerbier Schuetzengarten 18x33cl,Pack,Biere,FALSE,,,17.95,FALSE,Deaktiviert,18,flasche
113711,Lagerbier Schuetzengarten 6x33cl,Pack,Biere,FALSE,,,6.95,FALSE,Deaktiviert,6,flasche
74771,Lagerbier Schuetzengarten 6x50cl,Pack,Biere,FALSE,,,9.25,FALSE,Deaktiviert,6,flasche
87421,Lagerbier Schuetzengarten MW 50cl,Einzeln,Biere,FALSE,,1.60,,FALSE,Deaktiviert,,flasche
87420,Lagerbier Schuetzengarten MW 50cl,Einzeln,Biere,FALSE,,1.60,,FALSE,Deaktiviert,,flasche
36054,Landbier Eichbaum 50cl,Einzeln,Biere,FALSE,,0.55,,FALSE,Deaktiviert,,flasche
36055,Landbier Eichbaum Dose 18x50cl,Pack,Biere,FALSE,,,9.90,FALSE,Aktiv,18,dose
15526,Panaché Bilz Himbeere 10 × 33 cl,Pack,Biere,TRUE,,,10.85,FALSE,Aktiv,10,flasche
36950,Panache Bilz,Pack,Biere,FALSE,,,17.95,FALSE,Aktiv,,flasche
29462,Panache Farmer Lemon Dose 18x50cl,Pack,Biere,FALSE,,,10.80,TRUE,Aktiv,18,dose
13151,Panache Farmer Lemon Dose 50cl,Einzeln,Biere,FALSE,,0.60,,TRUE,Deaktiviert,,dose
66226,Quoellfrisch naturtrueb 15x33cl,Einzeln & Pack,Biere,FALSE,,0.35,15.95,FALSE,Aktiv,15,flasche
40901,Somersby Apple 4x33cl,Pack,Biere,FALSE,,,8.95,FALSE,Aktiv,4,flasche
